Action_Theme,Broad_Action,Habitat,Species,Method,Description,Source,Link
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Provide set-aside areas in farmland,"Set-aside areas with a grass-clover mix or a phacelia mix, left to regenerate mown once per year (late June, early July)",Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Restore species-rich grassland vegetation,"Plant hay-meadows or restore grasslands to species-rich meadows (reduce grazing, mowing regime)",Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Heathland,Invertebrates,Restore heathland,"Selective tree-felling, removal of nutrient-rich soil by scraping. ",Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Increase areas of rough grassland for bumblebee nesting,1.5-6 m of field margins to provide habitat for nesting queens,Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Create patches of bare ground for ground-nesting bees,"Scrape vegetation from ground, remove plant cover, or dig and raise the soil. Digging & raising most effective",Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Heathland,Invertebrates,Create patches of bare ground for ground-nesting bees,"In degraded heath, create shallow bats (3x5m) with a rear vertical face (30 cm) to attract ground-nesting bees.",Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Exposed rock and disturbed ground,Invertebrates,Create patches of bare ground for ground-nesting bees,"Scrape vegetation from ground, remove gravel, or dig and raise the soil. Digging & raising most effective",Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Increase the use of clover leys on farmland,Place bundles of reed stems for cavity nesting bees in fields with clover-grass mix. Bees will nest in the reed stems.,Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Plant dedicated floral resources on farmland,"Sow uncropped field margins with an agricultural nectar and pollen mix - phacelia, clover",Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
Habitat Creation ,Create nesting or food resources for pollinators/invertebrates,Grassland,Invertebrates,Sow uncropped arable field margins with a native wild flower seed mix,Ensure seed mix is native and locally sourced.,Conservation Evidence: Bee Conservation Synopsis,https://www.conservationevidence.com/data/index?synopsis_id%5B%5D=7
