Count,Action_Type,BAP_Type,County_Area_Organisation,BAP,Action,Action type,Notes,Relevant,Sites
1,Biodiversity monitoring/Citizen science,County Council,Dublin City Council,Dublin City Biodiversity Action Plan 2021-2026,Support the first National Hedgehog Survey and promote citizen science through the Helping Hedgehogs initiative,Involve citizen scientists in monitoring of habitats/species,Obj.4.,* ,All
2,Biodiversity awareness (internal),County Council,Dublin City Council,Dublin City Biodiversity Action Plan 2021-2026,Conduct training sessions for relevant DCC staff on biodiversity conservation and ensure best practice,Provide training to staff on biodiversity & best practice,Obj.7,*,All
3,Restoration,County Council,Dublin City Council,Dublin City Biodiversity Action Plan 2021-2026,Implement pilot projects to retrofit and construct wetlands for biodiversity,Restore and improve wetland and waterbody habitats,Obj.8,*,All
4,Invasive species,County Council,Dublin City Council,Dublin City Biodiversity Action Plan 2021-2026,"Map species, quantify problem, and implement actions to control Invasive Alien Species (IAS) on public lands and waterways",Identify and map the locations of invasive species,Obj.10,*,All
5,Invasive species,County Council,Dublin City Council,Dublin City Biodiversity Action Plan 2021-2026,Investigate detection and monitoring of IAS species using eDNA in combination with biological survey approaches in aquatic habitats in accordance with the NBAP,Develop a plan for monitoring and managing invasive species,Obj.10,*,All
6,Biodiversity awareness (external),County Council,Dublin City Council,Dublin City Biodiversity Action Plan 2021-2026,"Implement an annual education and outreach programme to raise awareness of biodiversity, which will be promoted through various Dublin City Council outlets and suppoting agencies",Implement an education programme with local schools,Obj.15,*,All
7,Biodiversity awareness (external),County Council,Dublin City Council,Dublin City Biodiversity Action Plan 2021-2026,Engage with citizens to promote behavioural changes and raise awareness of biodiversity and climate change through collaboration…,Work with the local community to promote biodiversity projects on site and within the local area,Obj.15,*,All
8,Biodiversity awareness (external),County Council,Dublin City Council,Dublin City Biodiversity Action Plan 2021-2026,Produce a Biodiversity Communciations Strategy,Develop a Biodiversity Communications strategy,Obj.15,*,All
9,Biodiversity awareness (external),County Council,Dublin City Council,Dublin City Biodiversity Action Plan 2021-2026,Produce a quarterly newsletter on biodiversity projects and news in Dublin City,Develop a Biodiversity Communications strategy,Obj.15,* ,All
10,Biodiversity monitoring/Citizen science,County Council,Dublin City Council,Dublin City Biodiversity Action Plan 2021-2026,Develop a series of citizen science projects to increase awareness of biodiversity and data collection on various species in collaboration with stakeholders,Establish/Engage the local community or volunteer group that are interested in biodiversity monitoring,Obj.16,*,All
11,Habitat creation,County Council,Fingal,Fingal Biodiversity Action Plan 2023-2030,Prepare planning & design guidance for incorporating nesting facilities in building facades,Create nesting or food resources for pollinators/invertebrates,Building for biodiversity,*,All
12,Management ,County Council,Fingal,Fingal Biodiversity Action Plan 2023-2030,Use native Irish farm breeds for conservation grazing schemes,Encourage farmers to engage with biodiversity-friendly management,Agri-Environment Schemes & Irish rare farm breed conservation,*,CA; RA;RI; TE
13,Biodiversity monitoring,County Council,Fingal,Fingal Biodiversity Action Plan 2023-2030,Undertake study to identify the habitats and species at risk of climate change,Undertake surveys to identify habitats and species to understand what is on site,Research & Monitoring,*,All
14,Biodiversity monitoring,County Council,Fingal,Fingal Biodiversity Action Plan 2023-2030,"Carry out fungi surveys in Turvey, Luttrelstown, Knockmaroon, Santry and Malahide demesne",Undertake surveys to identify habitats and species to understand what is on site,Research & Monitoring,*,All
15,Biodiversity monitoring,County Council,Fingal,Fingal Biodiversity Action Plan 2023-2030,Carry out ecological study of the large open water bodies and reservoirs in Fingal,Undertake surveys to identify habitats and species to understand what is on site,Research & Monitoring,*,All
16,Biodiversity monitoring,County Council,Fingal,Fingal Biodiversity Action Plan 2023-2030,Establish a monitoring programme on coastal dynamics along the Fingal Coast,Establish monitoring for species/habitats that are under threat or keystone species,Research & Monitoring,*,CA
17,Biodiversity awareness (internal),County Council,Fingal,Fingal Biodiversity Action Plan 2023-2030,Organise training days for County Council staff and politicians regarding biodiversity,Provide training to staff on biodiversity & best practice,Raising awareness,*,All
18,Management ,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Map and protect important hedgerows and promote native hedgerow enhancement and planting,Manage hedgerows in a biodiversity-friendly manner,Understanding biodiversity,*,All
19,Biodiversity monitoring,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,"Identify important biodiversity areas most vulnerable to climate change, including terretrial, watercourses, coastal and marine areas, and establish memasures and projects that assist protection of vulnerable areas",Undertake surveys to identify habitats and species to understand what is on site,Understanding biodiversity,*,All
20,Data management,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Provide a central place for all biodiversity data for decision-makers in DLR,Provide a central database for biodiversity data to be stored and easily accessed,Understanding biodiversity,*,All
21,Biodiversity monitoring/Citizen science,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Support and encourage the volunteer network and local communities to carry out biological recording and citizen science projects that contribute to biodiversity information and protection of biodiversity,Establish/Engage the local community or volunteer group that are interested in biodiversity monitoring,Understanding biodiversity,*,All
22,Biodiversity awareness (external),County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,"Input into the County Development Plan, Local Area Plans, Special Amenity Area Orders, County Tree Strategy and Historic Landscape Character Assessments, all of which offer potential in terms of addressing biodiversity at local level",Advertise and raise awareness of biodiversity actions within and beyond the sector ,Making good decisions for biodiversity,*,All
23,Invasive species,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Produce an Invasive Alien Species (IAS) Action Plan and ensure the implementation and monitoring of actions,Develop a plan for monitoring and managing invasive species,Making good decisions for biodiversity,*,All
24,Biodiversity awareness (internal),County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Develop training and guidance for land managers and local authority staff in relation to hedgerow management,Provide training to staff on biodiversity & best practice,Making good decisions for biodiversity,*,All
25,Restoration,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,"Identify opportunities where ecosystems can be restored and enhanced, including terrestrial, river, costal and marine ecosystems",Identify opportunities to restore habtiats ,Protecting biodiversity,*,All
26,Habitat creation,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,Develop and implement appropriate rewildling projects in DLR and extend local biodiversity areas within DLR,Create pockets of new habitat throughout the site,Protecting biodiversity,*,All
27,Management ,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,"Continue to protect the Calcareous Wetland and Flora at Kingston, Kiltiernan",Manage in a positive way for native species,Protecting biodiversity,*,CA; TE; RI; RA
28,Management ,County Council,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown County Council Biodiversity Action Plan 2021-2025,"Promote the creation of Nature-based solutions (NBS), such as biodiversity roofs (brown roofs), pollinator areas, native hedgerow planting, wetlands and other NBS to promote  biodiversity, as part of NBS for new developments and other projects",Implement nature-based solutions around the site,Protecting biodiversity,*,All
