Site,Habitat_Type,Fossitt,Area..m2.,condscore
CA,Cultivated and built land,BC1,17174,0.67
CA,Cultivated and built land,BC1,7808,0.79
CA,Exposed rock and disturbed ground,ED3,9521,0.63
CA,Exposed rock and disturbed ground,ED3,558,0.46
CA,Exposed rock and disturbed ground,ED3,740,0.46
CA,Exposed rock and disturbed ground,ED3,738,0.63
CA,Exposed rock and disturbed ground,ED3,1221,0.38
CA,Exposed rock and disturbed ground,ED3,722,0.46
CA,Freshwater,FS1,9547,0.89
CA,Grassland and marsh,GA1,6075,0.46
CA,Grassland and marsh,GA1,6916,0.46
CA,Grassland and marsh,GA1,7742,0.38
CA,Grassland and marsh,GA1,3638,0.46
CA,Grassland and marsh,GA1,7614,0.38
CA,Grassland and marsh,GA1,3370,0.46
CA,Grassland and marsh,GA1,6073,0.79
CA,Grassland and marsh,GA1,16829,0.54
CA,Grassland and marsh,GA1,7370,0.46
CA,Grassland and marsh,GA1,10423,0.54
CA,Grassland and marsh,GA1,11667,0.46
CA,Grassland and marsh,GA1,5563,0.46
CA,Grassland and marsh,GA1,1234,0.44
CA,Grassland and marsh,GA1,11064,0.29
CA,Grassland and marsh,GA1,4281,0.52
CA,Grassland and marsh,GA1,6416,0.71
CA,Grassland and marsh,GA1,2926,0.63
CA,Grassland and marsh,GA1,3648,0.46
CA,Grassland and marsh,GA1,1025,0.46
CA,Grassland and marsh,GA1,2999,0.63
CA,Grassland and marsh,GA1,5102,0.38
CA,Grassland and marsh,GA1,4181,0.29
CA,Grassland and marsh,GA1,2811,0.29
CA,Grassland and marsh,GA1,4440,0.29
CA,Grassland and marsh,GA1,5500,0.38
CA,Grassland and marsh,GA1,16711,0.29
CA,Grassland and marsh,GA1,5187,0.29
CA,Grassland and marsh,GA1,20292,0.46
CA,Grassland and marsh,GA1,8917,0.46
CA,Grassland and marsh,GA1,8287,0.46
CA,Grassland and marsh,GA1,17898,0.63
CA,Grassland and marsh,GA1,1210,0.54
CA,Grassland and marsh,GA1,6041,0.71
CA,Grassland and marsh,GA1,10600,0.63
CA,Grassland and marsh,GA1,6910,0.54
CA,Grassland and marsh,GA1,5028,0.71
CA,Grassland and marsh,GA1,14486,0.38
CA,Grassland and marsh,GA1,4871,0.46
CA,Grassland and marsh,GA1,9516,0.38
CA,Grassland and marsh,GA1,2408,0.46
CA,Grassland and marsh,GA1,6931,0.46
CA,Grassland and marsh,GA1,8513,0.54
CA,Grassland and marsh,GA1,6665,0.29
CA,Grassland and marsh,GA1,5057,0.38
CA,Grassland and marsh,GA1,1793,0.44
CA,Grassland and marsh,GA1,16618,0.54
CA,Grassland and marsh,GA1,10870,0.46
CA,Grassland and marsh,GA1,12028,0.38
CA,Grassland and marsh,GA1,14648,0.63
CA,Grassland and marsh,GA1,5843,0.54
CA,Grassland and marsh,GA1,5828,0.54
CA,Grassland and marsh,GA1,3300,0.52
CA,Grassland and marsh,GA1,2678,0.44
CA,Grassland and marsh,GA1,5161,0.54
CA,Grassland and marsh,GA1,8016,0.54
CA,Grassland and marsh,GA1,12134,0.46
CA,Grassland and marsh,GA1,6659,0.46
CA,Grassland and marsh,GA1,6072,0.54
CA,Grassland and marsh,GA1,4553,0.54
CA,Grassland and marsh,GA1,6349,0.54
CA,Grassland and marsh,GA1,7957,0.54
CA,Grassland and marsh,GA1,3448,0.63
CA,Grassland and marsh,GA1,7688,0.63
CA,Grassland and marsh,GA1,2111,0.38
CA,Grassland and marsh,GA1,1715,0.38
CA,Grassland and marsh,GA1,474,0.46
CA,Grassland and marsh,GA1,1033,0.38
CA,Grassland and marsh,GA1,2355,0.38
CA,Grassland and marsh,GA1,8659,0.63
CA,Grassland and marsh,GA1,7574,0.63
CA,Grassland and marsh,GA1,5462,0.54
CA,Grassland and marsh,GA1,16478,0.54
CA,Grassland and marsh,GA1,3847,0.46
CA,Grassland and marsh,GA1,7434,0.46
CA,Grassland and marsh,GA1,4631,0.54
CA,Grassland and marsh,GA1,1662,0.46
CA,Grassland and marsh,GA1,9710,0.79
CA,Grassland and marsh,GA1,11982,0.54
CA,Grassland and marsh,GA1,4706,0.79
CA,Grassland and marsh,GS1,10207,0.56
CA,Grassland and marsh,GS1,6890,0.5
CA,Grassland and marsh,GS2,1102,0.33
CA,Grassland and marsh,GS2,4700,0.35
CA,Grassland and marsh,GS2,1031,0.42
CA,Grassland and marsh,GS2,362,0.33
CA,Grassland and marsh,GS2,621,0.38
CA,Grassland and marsh,GS2,599,0.4
CA,Grassland and marsh,GS2,1132,0.46
CA,Grassland and marsh,GS2,1739,0.5
CA,Grassland and marsh,GS2,1192,0.46
CA,Grassland and marsh,GS2,1602,0.46
CA,Grassland and marsh,GS2,936,0.46
CA,Grassland and marsh,GS2,1267,0.38
CA,Grassland and marsh,GS2,616,0.46
CA,Grassland and marsh,GS2,1885,0.46
CA,Grassland and marsh,GS2,1466,0.58
CA,Grassland and marsh,GS2,2686,0.5
CA,Grassland and marsh,GS4,10892,0.58
CA,Grassland and marsh,GS4,12933,0.27
CA,Grassland and marsh,GS4,2881,0.35
CA,Grassland and marsh,GS4,416,0.46
CA,Heath and dense bracken,HD1,3683,0.44
CA,Heath and dense bracken,HD1,858,0.28
CA,Heath and dense bracken,HD1,509,0.28
CA,Littoral,LR4,5965,0.5
CA,Woodland and scrub,WS1,3467,0.21
CA,Woodland and scrub,WS1,1072,0.49
CA,Woodland and scrub,WS1,13912,0.21
CA,Woodland and scrub,WS1,46447,0.29
CA,Woodland and scrub,WS1,1467,0.46
CA,Woodland and scrub,WS1,2547,0.38
CA,Woodland and scrub,WS1,884,0.33
CA,Woodland and scrub,WS1,1900,0.29
CA,Woodland and scrub,WS1,4441,0.51
CA,Woodland and scrub,WS1,263,0.46
CA,Woodland and scrub,WS1,11521,0.4
CA,Woodland and scrub,WS1,1868,0.21
CA,Woodland and scrub,WS1,1670,0.21
CA,Woodland and scrub,WS1,268,0.38
CL,Freshwater,FL1,5842,0.67
CL,Freshwater,FL1,8856,0.67
CL,Freshwater,FL1,39558,0.5
CL,Freshwater,FL1,57347,0.5
CL,Freshwater,FL1,17355,0.53
CL,Freshwater,FL1,3254,0.53
CL,Freshwater,FL1,3955,0.47
CL,Freshwater,FL1,16141,0.6
CL,Freshwater,FL1,9842,0.73
CL,Freshwater,FL1,12145,0.67
CL,Freshwater,FL1,1254,0.73
CL,Freshwater,FL1,1598,0.6
CL,Freshwater,FL2,237690,0.23
CL,Heath and dense bracken,HD1,5285,0.44
CL,Peatland,PB2,406411,0.87
CL,Peatland,PB2,75931,0.57
CL,Peatland,PB2,38304,0.5
CL,Peatland,PB2,3285,0.57
CL,Peatland,PB2,3657,0.5
CL,Peatland,PB2,5794,0.77
CL,Peatland,PB2,14649,0.63
CL,Peatland,PB2,4764,0.63
CL,Peatland,PB4,22044,0.67
CL,Peatland,PB4,13028,0.73
CL,Peatland,PB4,8719,0.73
CL,Peatland,PB4,22909,0.67
CL,Peatland,PB4,5280,0.53
CL,Peatland,PB4,19633,0.8
CL,Peatland,PB4,4949,0.47
CL,Peatland,PB4,51185,0.67
CL,Peatland,PB4,15500,0.73
CL,Peatland,PB4,22469,0.67
CL,Peatland,PB4,19024,0.67
CL,Peatland,PB4,15975,0.6
CL,Peatland,PB4,16326,0.73
CL,Peatland,PB4HH3,355,0.67
CL,Peatland,PB4HH3,1074,0.73
CL,Peatland,PB4HH3,2057,0.73
CL,Peatland,PB4HH3,4256,0.8
CL,Peatland,PB4HH3,1772,0.6
CL,Peatland,PB4HH3,2219,0.6
CL,Peatland,PB4HH3,2621,0.73
CL,Peatland,PB4HH3,6796,0.47
CL,Peatland,PB4HH3,11579,0.4
CL,Peatland,PB4HH3,5059,0.53
CL,Peatland,PB4HH3,41337,0.47
CL,Peatland,PB4HH3,27643,0.6
CL,Peatland,PB4HH3,854,0.53
CL,Peatland,PB4HH3,3633,0.53
CL,Peatland,PB4HH3,5599,0.67
CL,Peatland,PB4HH3,10267,0.47
CL,Peatland,PB4HH3,7796,0.47
CL,Peatland,PB4HH3,8612,0.73
CL,Peatland,PB4HH3,6798,0.6
CL,Peatland,PB4HH3,6553,0.6
CL,Peatland,PB4HH3,21178,0.67
CL,Peatland,PB4HH3,9682,0.67
CL,Peatland,PB4HH3,3065,0.67
CL,Peatland,PB4HH3,1610,0.6
CL,Peatland,PB4HH3,14517,0.6
CL,Peatland,PB4HH3,25089,0.67
CL,Peatland,PB4HH3,6148,0.73
CL,Peatland,PB4HH3,21273,0.8
CL,Peatland,PB4HH3,4134,0.73
CL,Peatland,PB4HH3,128,0.67
CL,Peatland,PB4HH3,3940,0.8
CL,Peatland,PB4HH3,3588,0.8
CL,Peatland,PB4HH3,8490,0.87
CL,Peatland,PB4HH3,237,0.73
CL,Peatland,PB4HH3,3797,0.8
CL,Peatland,PB4HH3,7577,0.87
CL,Peatland,PB4HH3,1303,0.8
CL,Peatland,PB4HH3,11067,0.67
CL,Peatland,PB4HH3,3149,0.73
CL,Peatland,PB4HH3,13810,0.8
CL,Peatland,PB4HH3,4701,0.87
CL,Peatland,PB4HH3,15657,0.73
CL,Peatland,PB4HH3,422,0.67
CL,Peatland,PB4HH3,9287,0.6
CL,Peatland,PB4HH3,6285,0.73
CL,Peatland,PB4HH3,3748,0.67
CL,Peatland,PB4HH3,12412,0.67
CL,Peatland,PB4HH3,5390,0.67
CL,Peatland,PB4HH3,8770,0.73
CL,Peatland,PB4HH3,39489,0.67
CL,Peatland,PB4HH3,4899,0.67
CL,Peatland,PB4HH3,18225,0.73
CL,Peatland,PB4HH3,18776,0.73
CL,Peatland,PB4HH3,16073,0.47
CL,Peatland,PB4HH3,9899,0.53
CL,Peatland,PB4HH3,3173,0.53
CL,Peatland,PB4HH3,5705,0.33
CL,Peatland,PB4HH3,18547,0.53
CL,Peatland,PB4HH3,8726,0.53
CL,Peatland,PB4HH3,15009,0.47
CL,Peatland,PB4HH3,1561,0.47
CL,Peatland,PB4HH3,8374,0.6
CL,Peatland,PB4HH3,24249,0.67
CL,Peatland,PB4HH3,7757,0.67
CL,Peatland,PB4HH3,15606,0.67
CL,Peatland,PB4HH3,10638,0.73
CL,Peatland,PB4HH3,1765,0.67
CL,Peatland,PB4HH3,2573,0.73
CL,Peatland,PB4HH3,3127,0.73
CL,Peatland,PB4HH3,24954,0.73
CL,Peatland,PB4HH3,4038,0.6
CL,Peatland,PB4HH3,1397,0.53
CL,Peatland,PB4HH3,18301,0.47
CL,Peatland,PB4HH3,3908,0.53
CL,Peatland,PB4HH3,15873,0.6
CL,Peatland,PB4HH3,23377,0.87
CL,Peatland,PB4HH3,539,0.73
CL,Peatland,PB4HH3,1401,0.87
CL,Peatland,PB4HH3,1975,0.8
CL,Peatland,PB4HH3,4142,0.8
CL,Peatland,PB4HH3,5462,0.73
CL,Peatland,PB4HH3,3459,0.8
CL,Peatland,PB4HH3,6015,0.73
CL,Peatland,PB4HH3,21960,0.6
CL,Peatland,PB4HH3,4148,0.67
CL,Peatland,PB4HH3,10927,0.67
CL,Peatland,PB4HH3,1597,0.53
CL,Peatland,PB4HH3,26843,0.53
CL,Peatland,PB4HH3,12125,0.47
CL,Peatland,PB4HH3,11346,0.53
CL,Woodland and scrub,WD4,96882,0.49
CL,Woodland and scrub,WD4,62705,0.46
CL,Woodland and scrub,WD4,170003,0.33
CL,Woodland and scrub,WD4,22410,0.46
CL,Woodland and scrub,WD4,54106,0.46
CL,Woodland and scrub,WD4,4071,0.57
CL,Woodland and scrub,WD4,65232,0.46
CL,Woodland and scrub,WD4,3605,0.46
CL,Woodland and scrub,WD4,33499,0.46
CL,Woodland and scrub,WD4,19620,0.38
CL,Woodland and scrub,WD4,98135,0.57
CL,Woodland and scrub,WD4,32780,0.38
CL,Woodland and scrub,WD4,71856,0.49
CL,Woodland and scrub,WD4,24042,0.49
CL,Woodland and scrub,WD4,25759,0.4
CL,Woodland and scrub,WD4,194906,0.4
CL,Woodland and scrub,WD4,588655,0.33
CL,Woodland and scrub,WD4,150093,0.46
CL,Woodland and scrub,WD4,166524,0.38
CL,Woodland and scrub,WD4,301502,0.49
CL,Woodland and scrub,WD4,225107,0.38
CL,Woodland and scrub,WD4,293798,0.44
CL,Woodland and scrub,WD4,111001,0.46
CL,Woodland and scrub,WD4,80594,0.46
CL,Woodland and scrub,WD4,138134,0.36
CL,Woodland and scrub,WD4,101492,0.42
CL,Woodland and scrub,WD4,214029,0.4
CL,Woodland and scrub,WD4,810447,0.32
CL,Woodland and scrub,WD4,780151,0.5
CL,Woodland and scrub,WD4,290933,0.38
CL,Woodland and scrub,WD4,3737,0.38
CL,Woodland and scrub,WD4,3503,0.38
CL,Woodland and scrub,WD4,373668,0.42
CL,Woodland and scrub,WD4,1475005,0.4
CL,Woodland and scrub,WD4,802190,0.4
CL,Woodland and scrub,WD4,16528,0.4
CL,Woodland and scrub,WD4,511110,0.38
CL,Woodland and scrub,WD4,145757,0.46
CL,Woodland and scrub,WD4,71424,0.46
CL,Woodland and scrub,WD4,309858,0.46
CL,Woodland and scrub,WD4,409340,0.38
CL,Woodland and scrub,WD4,85534,0.46
CL,Woodland and scrub,WD4,31509,0.46
CL,Woodland and scrub,WD4,64173,0.38
CL,Woodland and scrub,WD4,22651,0.46
CL,Woodland and scrub,WD4,260348,0.38
CL,Woodland and scrub,WD4,113145,0.46
CL,Woodland and scrub,WD4,101665,0.4
CL,Woodland and scrub,WD4,49673,0.46
CL,Woodland and scrub,WD4,140884,0.38
CL,Woodland and scrub,WD4,165891,0.38
CL,Woodland and scrub,WD4,17087,0.46
CL,Woodland and scrub,WD4,147156,0.25
CL,Woodland and scrub,WD4,1150379,0.5
CL,Woodland and scrub,WD4,2893,0.46
CL,Woodland and scrub,WD4,240904,0.38
CL,Woodland and scrub,WD4,448441,0.29
CL,Woodland and scrub,WD4,259626,0.38
CL,Woodland and scrub,WD4,664057,0.4
CL,Woodland and scrub,WD4,511748,0.46
CL,Woodland and scrub,WD4,197179,0.46
CL,Woodland and scrub,WD4,223569,0.46
CL,Woodland and scrub,WD4,325956,0.46
CL,Woodland and scrub,WD4,230165,0.54
CL,Woodland and scrub,WD4,858082,0.58
CL,Woodland and scrub,WD4,482958,0.54
CL,Woodland and scrub,WD4,270805,0.42
CL,Woodland and scrub,WD4,370825,0.54
CL,Woodland and scrub,WD4,156615,0.46
CL,Woodland and scrub,WD4,348457,0.46
CL,Woodland and scrub,WD4,553230,0.57
CL,Woodland and scrub,WS5,352740,0.72
CL,Woodland and scrub,WS5,134720,0.57
CL,Woodland and scrub,WS5,19095,0.57
CL,Woodland and scrub,WS5,12972,0.51
CL,Woodland and scrub,WS5,58550,0.56
CL,Woodland and scrub,WS5,26140,0.49
CL,Woodland and scrub,WS5,102236,0.49
CL,Woodland and scrub,WS5,302763,0.56
CL,Woodland and scrub,WS5,21659,0.49
CL,Woodland and scrub,WS5,331661,0.56
TE,Exposed rock and disturbed ground,ED3,1346,0.3
TE,Exposed rock and disturbed ground,ED3,2152,0.37
TE,Exposed rock and disturbed ground,ED3,2477,0.33
TE,Exposed rock and disturbed ground,ED3,1547,0.23
TE,Exposed rock and disturbed ground,ED3,2198,0.33
TE,Grassland and marsh,GA1,15928,0.47
TE,Grassland and marsh,GA1,7342,0.38
TE,Grassland and marsh,GA1,19798,0.52
TE,Grassland and marsh,GA1,21899,0.22
TE,Grassland and marsh,GA1,16475,0.55
TE,Grassland and marsh,GA1,6339,0.6
TE,Grassland and marsh,GA1,26181,0.37
TE,Grassland and marsh,GA1,26444,0.33
TE,Grassland and marsh,GA1,8038,0.32
TE,Grassland and marsh,GA1,9111,0.43
TE,Grassland and marsh,GA1,23600,0.35
TE,Grassland and marsh,GA1,13215,0.33
TE,Grassland and marsh,GA1,7373,0.3
TE,Grassland and marsh,GA1,10131,0.35
TE,Grassland and marsh,GA1,8347,0.3
TE,Grassland and marsh,GA1,7692,0.37
TE,Grassland and marsh,GA1,21175,0.35
TE,Grassland and marsh,GA1,21242,0.52
TE,Grassland and marsh,GA1,15136,0.32
TE,Grassland and marsh,GA1,14645,0.6
TE,Grassland and marsh,GA1,14296,0.53
TE,Grassland and marsh,GA1,8036,0.47
TE,Grassland and marsh,GA1,10933,0.5
TE,Grassland and marsh,GA1,10602,0.53
TE,Grassland and marsh,GA1,7009,0.62
TE,Grassland and marsh,GA1,18690,0.38
TE,Grassland and marsh,GA1,22478,0.35
TE,Grassland and marsh,GA1,10237,0.23
TE,Grassland and marsh,GA1,17661,0.42
TE,Grassland and marsh,GA1,13981,0.4
TE,Grassland and marsh,GA1,17344,0.4
TE,Grassland and marsh,GA1,9214,0.45
TE,Grassland and marsh,GA1,6524,0.23
TE,Grassland and marsh,GA1,9868,0.37
TE,Grassland and marsh,GA1,6070,0.28
TE,Grassland and marsh,GA1,3113,0.38
TE,Grassland and marsh,GA1,810,0.32
TE,Grassland and marsh,GA1,327,0.38
TE,Grassland and marsh,GS1,8634,0.3
TE,Grassland and marsh,GS1,15239,0.37
TE,Grassland and marsh,GS1,9413,0.3
TE,Grassland and marsh,GS1,25504,0.23
TE,Grassland and marsh,GS3,4679,0.37
TE,Grassland and marsh,GS4,2412,0.2
TE,Grassland and marsh,GS4,2255,0.42
TE,Grassland and marsh,GS4,17028,0.32
TE,Grassland and marsh,GS4,4266,0.63
TE,Heath and dense bracken,HH3,14654,0.5
TE,Heath and dense bracken,HH3,2176,0.5
TE,Woodland and scrub,WS1,2722,0.5
TE,Woodland and scrub,WS1,5281,0.33
TE,Woodland and scrub,WS1,648,0.25
TE,Woodland and scrub,WS1,1698,0.33
MO,Exposed rock and disturbed ground,ED3,6444,0.53
MO,Exposed rock and disturbed ground,ED3,16897,0.47
MO,Exposed rock and disturbed ground,ED3,4534,0.47
MO,Exposed rock and disturbed ground,ED3,1686,0.53
MO,Exposed rock and disturbed ground,ED3,1580,0.33
MO,Exposed rock and disturbed ground,ED3,1029,0.33
MO,Peatland,PB2,217962,0.5
MO,Peatland,PB2,96223,0.43
MO,Peatland,PB2,66884,0.37
MO,Peatland,PB2,148363,0.3
MO,Peatland,PB2,18394,0.3
MO,Peatland,PB2,145606,0.43
MO,Peatland,PB2,57387,0.43
MO,Peatland,PB2,201877,0.4
MO,Peatland,PB2,51605,0.53
MO,Peatland,PB2,44747,0.4
MO,Peatland,PB2,360051,0.37
MO,Peatland,PB2,28393,0.43
MO,Peatland,PB2,100754,0.57
MO,Peatland,PB2,49858,0.57
MO,Peatland,PB2,175728,0.43
MO,Peatland,PB2,101687,0.6
MO,Peatland,PB5,5806,0.43
MO,Peatland,PB5,5231,0.33
MO,Peatland,PB5,9379,0.37
MO,Peatland,PB5,3771,0.4
MO,Peatland,PB5,1193,0.3
MO,Peatland,PB5,7450,0.37
RA,Exposed rock and disturbed ground,ED3,1606,0.21
RA,Exposed rock and disturbed ground,ED3,1529,0.42
RA,Exposed rock and disturbed ground,ED3,1317,0.37
RA,Exposed rock and disturbed ground,ED3,1510,0.29
RA,Exposed rock and disturbed ground,ED3,1262,0.37
RA,Grassland and marsh,GA1,3518,0.4
RA,Grassland and marsh,GA1,36053,0.37
RA,Grassland and marsh,GA1,10734,0.35
RA,Grassland and marsh,GA1,36658,0.3
RA,Grassland and marsh,GA1,21213,0.18
RA,Grassland and marsh,GA1,13566,0.48
RA,Grassland and marsh,GA1,13274,0.42
RA,Grassland and marsh,GA1,17201,0.37
RA,Grassland and marsh,GA1,11368,0.45
RA,Grassland and marsh,GA1,9923,0.45
RA,Grassland and marsh,GA1,13493,0.25
RA,Grassland and marsh,GA1,6970,0.38
RA,Grassland and marsh,GA1,29665,0.3
RA,Grassland and marsh,GA1,31496,0.43
RA,Grassland and marsh,GA1,34529,0.37
RA,Grassland and marsh,GA1,48255,0.43
