AssetID,County,Habitat_Type,Fossitt,Area_m2,Area_ha
BAWS504,Cork,Woodland and scrub,WS5,197822,20
BAWS502,Cork,Woodland and scrub,WS5,94268,10
BAWD401,Cork,Woodland and scrub,WD4,86065,9
BAWD402,Cork,Woodland and scrub,WD4,5849,1
BAWD403,Cork,Woodland and scrub,WD4,63910,6
BAWD404,Cork,Woodland and scrub,WD4,52533,5
BAWD405,Cork,Woodland and scrub,WD4,47913,5
BAWD406,Cork,Woodland and scrub,WD4,62600,6
BAWD407,Cork,Woodland and scrub,WD4,70643,7
BAWD408,Cork,Woodland and scrub,WD4,77331,8
BAWD409,Cork,Woodland and scrub,WD4,86748,9
BAWD410,Cork,Woodland and scrub,WD4,8881,1
BAWD411,Cork,Woodland and scrub,WD4,100645,10
BAWD412,Cork,Woodland and scrub,WD4,103839,10
BAWD413,Cork,Woodland and scrub,WD4,38550,4
BAWD415,Cork,Woodland and scrub,WD4,21202,2
BAWD416,Cork,Woodland and scrub,WD4,263047,26
BAWD418,Cork,Woodland and scrub,WD4,247851,25
BAWD419,Cork,Woodland and scrub,WD4,224153,22
BAWD421,Cork,Woodland and scrub,WD4,41690,4
BAWD423,Cork,Woodland and scrub,WD4,80294,8
BAWD424,Cork,Woodland and scrub,WD4,38301,4
BAWD425,Cork,Woodland and scrub,WD4,37553,4
BAWD427,Cork,Woodland and scrub,WD4,114594,11
BAWD428,Cork,Woodland and scrub,WD4,91938,9
BAWD429,Cork,Woodland and scrub,WD4,154481,16
BAWD430,Cork,Woodland and scrub,WD4,72623,7
BAWD433,Cork,Woodland and scrub,WD4,369474,37
BAWD434,Cork,Woodland and scrub,WD4,41855,4
BAWD435,Cork,Woodland and scrub,WD4,134711,14
BAWD436,Cork,Woodland and scrub,WD4,125177,13
BAWD437,Cork,Woodland and scrub,WD4,103040,10
BAWD438,Cork,Woodland and scrub,WD4,23025,2
BAWD440,Cork,Woodland and scrub,WD4,21669,2
BAWD441,Cork,Woodland and scrub,WD4,78788,8
BAWD443,Cork,Woodland and scrub,WD4,45183,5
BAWD444,Cork,Woodland and scrub,WD4,52735,5
BAWD445,Cork,Woodland and scrub,WD4,19863,2
BAWD447,Cork,Woodland and scrub,WD4,85412,9
BAWD448,Cork,Woodland and scrub,WD4,46947,5
BAWD450,Cork,Woodland and scrub,WD4,16078,2
BAWD451,Cork,Woodland and scrub,WD4,5392,1
BAWD453,Cork,Woodland and scrub,WD4,61091,6
BAWD454,Cork,Woodland and scrub,WD4,1585,0
BAHH105,Cork,Heath and dense bracken,HH1,348619,35
BAGS201,Cork,Grassland and marsh,GS2,653,0
BAGS203,Cork,Grassland and marsh,GS2,668,0
BAGS205,Cork,Grassland and marsh,GS2,2243,0
BAGS207,Cork,Grassland and marsh,GS2,4526,0
BAGS209,Cork,Grassland and marsh,GS2,4094,0
BAGS211,Cork,Grassland and marsh,GS2,4379,0
BAGS215,Cork,Grassland and marsh,GS2,2376,0
BAGS217,Cork,Grassland and marsh,GS2,2452,0
BAGS218,Cork,Grassland and marsh,GS2,2094,0
BAGS220,Cork,Grassland and marsh,GS2,8079,1
BAGS222,Cork,Grassland and marsh,GS2,2199,0
BAGS223,Cork,Grassland and marsh,GS2,16991,2
BAGS225,Cork,Grassland and marsh,GS2,1764,0
BAGS226,Cork,Grassland and marsh,GS2,2691,0
BAGS227,Cork,Grassland and marsh,GS2,484,0
BAGS228,Cork,Grassland and marsh,GS2,3850,0
BAGS229,Cork,Grassland and marsh,GS2,3334,0
BAGS230,Cork,Grassland and marsh,GS2,315,0
BAED3HH102,Cork,Exposed rock and disturbed ground,ED3/HH1,6514,1
BAED3HH103,Cork,Exposed rock and disturbed ground,ED3/HH1,9776,1
BAED3HH104,Cork,Exposed rock and disturbed ground,ED3/HH1,4767,0
BAED3HH108,Cork,Exposed rock and disturbed ground,ED3/HH1,6613,1
BAED3HH112,Cork,Exposed rock and disturbed ground,ED3/HH1,6980,1
BAED3HH114,Cork,Exposed rock and disturbed ground,ED3/HH1,7721,1
BAED3HH116,Cork,Exposed rock and disturbed ground,ED3/HH1,10552,1
BAED3HH118,Cork,Exposed rock and disturbed ground,ED3/HH1,31515,3
BAED3HH119,Cork,Exposed rock and disturbed ground,ED3/HH1,12527,1
BAED3HH122,Cork,Exposed rock and disturbed ground,ED3/HH1,18437,2
BAED3HH123,Cork,Exposed rock and disturbed ground,ED3/HH1,20528,2
BAED302,Cork,Exposed rock and disturbed ground,ED3,2377,0
BAED303,Cork,Exposed rock and disturbed ground,ED3,3526,0
BAED304,Cork,Exposed rock and disturbed ground,ED3,692,0
BAED306,Cork,Exposed rock and disturbed ground,ED3,1779,0
BAED307,Cork,Exposed rock and disturbed ground,ED3,1025,0
BAED201,Cork,Exposed rock and disturbed ground,ED2,443,0
BAED202,Cork,Exposed rock and disturbed ground,ED2,1236,0
BAED203,Cork,Exposed rock and disturbed ground,ED2,9146,1
BAED204,Cork,Exposed rock and disturbed ground,ED2,1528,0
