Action_Code,Action type,Action,Interviewee,Feasibility,Cost,Cost Indexed,Benefit
BE,Biodiversity awareness (external),Implement an education programme with local schools,A,100,L,1,75
BE,Biodiversity awareness (external),Develop a Biodiversity Communications strategy,A,100,L,1,85
BE,Biodiversity awareness (external),"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",A,85,L,1,50
BE,Biodiversity awareness (external),Work with the local community to promote biodiversity projects on site and within the local area,A,100,L,1,75
BE,Biodiversity awareness (external),Develop biodiversity signage on site to inform visitors of the biodiversity present,A,85,L,1,50
BE,Biodiversity awareness (external),Develop walking trails or other visitor infrastructure to highlight biodiversity onsite,A,50,M,2,70
BE,Biodiversity awareness (external),Advertise and raise awareness of biodiversity actions within and beyond the sector ,A,85,L,1,85
AI,Biodiversity awareness (internal),Provide training to staff on biodiversity & best practice,A,100,L,1,95
AI,Biodiversity awareness (internal),Promote engagement with biodiversity with staff,A,100,L ,1,95
AI,Biodiversity awareness (internal),Ensure biodiversity is incorporated into all aspects of work,A,85,L,1,85
BM,Biodiversity monitoring,Undertake surveys to identify habitats and species to understand what is on site,A,100,H,3,100
BM,Biodiversity monitoring,Establish monitoring for species/habitats that are under threat or keystone species,A,100,H,3,100
BM,Biodiversity monitoring,Monitor species in line with relevant Species Action Plans or Threat Response Plans,A,100,H,3,100
BM,Biodiversity monitoring,Monitor habitat condition to update ecosystem accounts ,A,,,,
CS,Citizen science,Establish/Engage the local community or volunteer group that are interested in biodiversity monitoring,A,25,L,1,
CS,Citizen science,Involve citizen scientists in monitoring of habitats/species,A,25,L,1,
CS,Citizen science,"Promote initiatives that involve citizen science, especially involving the local community",A,25,L,1,
DM,Data management,Provide a central database for biodiversity data to be stored and easily accessed,A,100,L,1,90
DM,Data management,Submit data to the National Biodiversity Data Centre and other relevant organisations,A,100,M,2,85
DM,Data management,Ensure data collected meets data standards and follows relevant guidelines,A,100,M,2,80
DM,Data management,Make use of open biodiversity data to inform decisions ,A,80,L,1,80
