round,cluster,no_of_codes,manual_theme
1,Policy and Governance Gaps,5,Policy and Governance Gaps
1,Monitoring and Data Management,5,Monitoring and Data Management
1,Restoration and Biodiversity Measures,5,Restoration and Habitat Management
1,Planning and Development Constraints,5,"Planning, Development, and Operational Constraints"
1,Scientific and Technical Standards,4,Technical and Conceptual Clarity
1,Climate and Energy Policy Context,3,Climate-Biodiversity Nexus
1,Incentives and Stakeholder Engagement,3,Landowner Engagement and Lease Agreements
2,Policy and Governance Gaps,3,Policy and Governance Gaps
2,Monitoring and Resource Allocation,3,Monitoring and Data Management
2,Land Use and Legal Instruments,3,Landowner Engagement and Lease Agreements
2,Restoration and Habitat Management,3,Restoration and Habitat Management
2,Biodiversity Net Gain (BNG),2,Biodiversity-Planning Integration
2,Public Participation and Data Use,1,Monitoring and Data Management
2,Terminology and Communication,1,Technical and Conceptual Clarity
2,Climate-Biodiversity Nexus,1,Climate-Biodiversity Nexus
2,Innovation and Futureproofing,1,Biodiversity-Planning Integration
2,Operational Constraints,1,"Planning, Development, and Operational Constraints"
3,Policy and Governance Gaps,3,Policy and Governance Gaps
3,Monitoring and Resource Allocation,4,Monitoring and Data Management
3,Land Use and Legal Instruments,4,Landowner Engagement and Lease Agreements
3,Restoration and Habitat Management,3,Restoration and Habitat Management
3,Biodiversity Net Gain (BNG),3,Biodiversity-Planning Integration
3,Planning and EIA Effectiveness,3,"Planning, Development, and Operational Constraints"
3,Terminology and Communication,2,Technical and Conceptual Clarity
3,Climate-Biodiversity Nexus,2,Climate-Biodiversity Nexus
3,Innovation and Futureproofing,1,Biodiversity-Planning Integration
3,Operational Constraints,2,"Planning, Development, and Operational Constraints"
4,Data Management and Policy,12,Monitoring and Data Management
4,Tools and Monitoring,12,Monitoring and Data Management
4,Restoration and Conservation,3,Restoration and Habitat Management
4,Incentives and Engagement,3,Landowner Engagement and Lease Agreements
5,Data & Monitoring,2,Monitoring and Data Management
5,Restoration & Reinstatement,3,Restoration and Habitat Management
5,"Financial Incentives, Lease & Agreements",2,Landowner Engagement and Lease Agreements
5,"Methods, Rigor & Document Structure",1,Technical and Conceptual Clarity
5,"Policy, Regulation & Planning Frameworks",2,Policy and Governance Gaps
6,Policy and Governance Gaps,5,Policy and Governance Gaps
6,Monitoring and Data Use,5,Monitoring and Data Management
6,Planning and Development Constraints,5,"Planning, Development, and Operational Constraints"
6,Restoration and Biodiversity Measures,5,Restoration and Habitat Management
